,QLD_QQQ_SMA200,QQQ_BH,SPY_BH
2025-05-15,15877.22673598982,9314.806460344676,6022.964725354285
2025-05-16,16013.472960840989,9355.40918523866,6061.135822902645
2025-05-19,16037.69451192564,9364.251556437795,6067.756284266046
2025-05-20,15922.642144273543,9333.213028963286,6047.377676631826
2025-05-21,15480.59883697863,9203.464765857629,5945.484638460728
2025-05-22,15538.12502080468,9220.608138590644,5947.760422054397
2025-05-23,15241.411020017684,9135.25218803574,5907.210096203565
2025-05-27,15949.891389243772,9350.175945141216,6029.998965552896
2025-05-28,15813.6451643926,9308.670937471814,5995.138098686237
2025-05-29,15871.171348218653,9327.077506090418,6018.826937002158
2025-05-30,15813.645164392601,9312.2800685735,6012.103030929954
2025-06-02,16055.860675239128,9385.906343047922,6045.929450708582
2025-06-03,16313.214655513562,9459.17170441217,6080.37653874003
2025-06-04,16394.962390424265,9485.518361454488,6078.72142339918
2025-06-05,16140.636104035411,9414.238022196167,6049.3431260990865
2025-06-06,16449.46088036473,9506.27086528919,6111.513396089776
2025-06-09,16494.876288648455,9520.166020030685,6116.995965656342
2025-06-10,16715.89794229591,9583.145357755127,6151.649943105394
2025-06-11,16600.84557464381,9550.843634395025,6134.167787317664
2025-06-12,16676.53792178335,9573.400703780571,6158.580738595206
2025-06-13,16249.633083916347,9453.216638094385,6089.686562532313
2025-06-16,16694.704085096837,9584.589010195803,6147.615599462072
2025-06-17,16361.657757682864,9491.112514662102,6095.065687390075
2025-06-18,16355.602369911701,9489.488405666343,6094.134685010847
2025-06-20,16210.273063403783,9450.870702878288,6079.859315196013
2025-06-23,16546.34708470334,9547.956329513676,6139.857246301837
2025-06-24,17048.944269709882,9693.945682576927,6207.7169752767
2025-06-25,17130.69200462058,9718.848687178568,6211.234095376009
2025-06-26,17454.65525037781,9809.618334386001,6259.8531085134855
2025-06-27,17569.707618029912,9843.183253631694,6290.886521154429
2025-06-30,17793.75696556295,9907.064874131558,6320.988931416144
2025-07-01,17481.904495348048,9823.513489127497,6318.920037240082
2025-07-02,17730.175393965736,9891.90652350447,6347.574221578553
2025-07-03,18063.22172137971,9989.172606694941,6397.6414606392755
2025-07-07,17790.729271677366,9913.922223224763,6349.953449881026
2025-07-08,17805.867741105274,9919.516376432379,6346.436329781718
2025-07-09,18057.166333608544,9989.713976360195,6384.503982621276
2025-07-10,17999.640149782495,9975.457908508528,6402.503361953022
2025-07-11,17911.837027100628,9952.900839122982,6380.055860142741
2025-07-14,18035.97247640947,9988.992150139855,6392.158891072709
2025-07-15,18063.221721379705,9998.195434449157,6364.849487948678
2025-07-16,18102.581741892267,10008.481458088967,6386.159097962128
2025-07-17,18393.2403549081,10089.506451321846,6425.261197889716
2025-07-18,18344.797252738794,10079.76179734729,6420.502741284771
2025-07-21,18535.541967530437,10132.094198321754,6432.709216923543
2025-07-22,18338.74186496763,10079.581340792203,6433.640219302771
2025-07-23,18505.265028674617,10125.597762338717,6488.3624702596335
2025-07-24,18587.012763585324,10147.072092393755,6490.5348091445
2025-07-25,18659.677416839284,10171.614183885227,6517.947656977333
2025-07-28,18777.757478376967,10203.374537580075,6516.292541636482
2025-07-29,18723.258988436497,10187.494360732651,6499.120719975161
2025-07-30,18765.646702834638,10201.209058919063,6490.948587979713
2025-07-31,18556.73582472951,10147.072092393753,6466.535636702171
2025-08-01,17817.978516647603,9947.12622936028,6360.608254887752
2025-08-04,18471.960395933223,10130.83100243616,6457.22561290989
2025-08-05,18217.634109544375,10061.896598393934,6424.537084928094
2025-08-06,18674.815886267195,10188.577100063156,6473.776766318393
2025-08-07,18798.95133557604,10223.044302084269,6468.294196751825
2025-08-08,19141.08074464676,10318.505819723896,6518.775214647761
2025-08-11,19016.945295337915,10287.828205359554,6505.8446260473675
2025-08-12,19498.34862314539,10417.215555355042,6575.152580945474
2025-08-13,19513.487092573298,10422.448795452488,6597.600082755756
2025-08-14,19480.182459831896,10414.328250473694,6598.2207510085755
2025-08-15,19298.520826697,10368.492285482267,6582.807489396908
2025-08-18,19286.410051154675,10364.341784715327,6581.359263473663
2025-08-19,18756.5636211779,10223.766128304605,6545.670838936579
2025-08-20,18526.458885873693,10163.132725796262,6528.2921278576505
2025-08-21,18356.908028281126,10116.033564919242,6502.120616530454
2025-08-22,18917.03139711372,10272.128485067215,6601.944760525488
2025-08-25,18801.97902946162,10242.53361003338,6572.876797351804
